timestamp,symbol,side,price,size,event_type
1000000000000000000,AAPL,SELL,149.99,1192,TRADE
1000000000003000000,AAPL,BUY,149.94,6147,TRADE
1000000000006000000,AAPL,SELL,149.87,4118,TRADE
1000000000008000000,AAPL,BUY,149.91,2408,TRADE
1000000000011000000,AAPL,BUY,150.01,7280,TRADE
1000000000012000000,AAPL,BUY,150.01,149,TRADE
1000000000013000000,AAPL,SELL,149.99,6469,TRADE
1000000000014000000,AAPL,BUY,149.99,7583,TRADE
1000000000021000000,AAPL,BUY,149.92000000000002,466,TRADE
1000000000023000000,AAPL,BUY,149.95000000000002,4527,TRADE
1000000000028000000,AAPL,BUY,150.02,4891,TRADE
1000000000029000000,AAPL,SELL,150.03,3640,TRADE
1000000000031000000,AAPL,SELL,149.99,2591,TRADE
1000000000033000000,AAPL,BUY,150.03,7823,TRADE
1000000000035000000,AAPL,BUY,150.05,7117,TRADE
1000000000036000000,AAPL,BUY,150.04,9402,TRADE
1000000000039000000,AAPL,SELL,150.0,5781,TRADE
1000000000040000000,AAPL,BUY,150.01,7140,TRADE
1000000000043000000,AAPL,BUY,150.0,2914,TRADE
1000000000046000000,AAPL,BUY,149.98,2158,TRADE
1000000000050000000,AAPL,BUY,150.03,8219,TRADE
1000000000051000000,AAPL,SELL,150.02,918,TRADE
1000000000053000000,AAPL,BUY,150.04,431,TRADE
1000000000055000000,AAPL,BUY,150.05,6182,TRADE
1000000000060000000,AAPL,BUY,149.98,3174,TRADE
1000000000065000000,AAPL,BUY,149.99,7687,TRADE
1000000000068000000,AAPL,SELL,149.95000000000002,150,TRADE
1000000000070000000,AAPL,SELL,149.96,5102,TRADE
1000000000072000000,AAPL,BUY,150.0,4797,TRADE
1000000000081000000,AAPL,BUY,150.02,1370,TRADE
1000000000083000000,AAPL,SELL,150.0,9172,TRADE
1000000000094000000,AAPL,BUY,149.96,1149,TRADE
1000000000095000000,AAPL,BUY,149.96,2490,TRADE
1000000000096000000,AAPL,BUY,149.96,2664,TRADE
1000000000099000000,AAPL,SELL,149.94,372,TRADE
1000000000103000000,AAPL,BUY,149.98,4795,TRADE
1000000000107000000,AAPL,BUY,149.96,7794,TRADE
1000000000108000000,AAPL,BUY,149.94,2343,TRADE
1000000000109000000,AAPL,BUY,149.94,2717,TRADE
1000000000122000000,AAPL,SELL,149.99,917,TRADE
1000000000124000000,AAPL,SELL,150.01,397,TRADE
1000000000125000000,AAPL,SELL,150.01,3345,TRADE
1000000000126000000,AAPL,SELL,149.98,5558,TRADE
1000000000132000000,AAPL,SELL,149.94,7754,TRADE
1000000000135000000,AAPL,SELL,149.93,9869,TRADE
1000000000139000000,AAPL,SELL,149.95000000000002,3448,TRADE
1000000000143000000,AAPL,BUY,149.94,9535,TRADE
1000000000144000000,AAPL,BUY,149.96,3804,TRADE
1000000000147000000,AAPL,BUY,149.94,6168,TRADE
1000000000153000000,AAPL,BUY,149.99,1417,TRADE
1000000000157000000,AAPL,SELL,150.01,4580,TRADE
1000000000160000000,AAPL,SELL,150.09,6345,TRADE
1000000000161000000,AAPL,SELL,150.04,2586,TRADE
1000000000162000000,AAPL,SELL,150.0,9262,TRADE
1000000000166000000,AAPL,SELL,150.04,7093,TRADE
1000000000169000000,AAPL,SELL,150.05,6564,TRADE
1000000000171000000,AAPL,BUY,150.07,1086,TRADE
1000000000173000000,AAPL,BUY,150.04,1467,TRADE
1000000000176000000,AAPL,SELL,150.04,2409,TRADE
1000000000178000000,AAPL,BUY,150.03,7846,TRADE
1000000000182000000,AAPL,SELL,150.03,7381,TRADE
1000000000184000000,AAPL,BUY,150.04,5369,TRADE
1000000000185000000,AAPL,SELL,150.0,9244,TRADE
1000000000192000000,AAPL,SELL,150.02,6731,TRADE
1000000000194000000,AAPL,BUY,149.98,4270,TRADE
1000000000196000000,AAPL,BUY,150.01,9526,TRADE
1000000000197000000,AAPL,SELL,150.01,3824,TRADE
1000000000198000000,AAPL,SELL,150.02,9153,TRADE
1000000000199000000,AAPL,SELL,150.0,5955,TRADE
1000000000201000000,AAPL,SELL,149.95000000000002,1527,TRADE
1000000000211000000,AAPL,SELL,149.91,5031,TRADE
1000000000213000000,AAPL,BUY,149.92000000000002,4273,TRADE
1000000000219000000,AAPL,BUY,149.97,2734,TRADE
1000000000220000000,AAPL,SELL,149.98,6082,TRADE
1000000000223000000,AAPL,SELL,150.02,8512,TRADE
1000000000237000000,AAPL,BUY,149.98,601,TRADE
1000000000241000000,AAPL,BUY,150.0,3205,TRADE
1000000000243000000,AAPL,SELL,150.0,172,TRADE
1000000000244000000,AAPL,SELL,150.01,5092,TRADE
1000000000257000000,AAPL,SELL,149.94,2702,TRADE
1000000000263000000,AAPL,SELL,149.93,6202,TRADE
1000000000264000000,AAPL,SELL,149.96,7728,TRADE
