timestamp,symbol,portfolio_value,cash,positions
1000000000000000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000002000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000004000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000007000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000008000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000019000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000020000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000024000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000025000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000027000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000032000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000038000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000041000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000048000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000051000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000062000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000063000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000072000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000077000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000078000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000081000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000084000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000086000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000092000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000093000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000095000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000096000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000099000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
